word,confidence,Minx,Miny,Maxx,Maxy,MeanX,Meany
You,95.63793182373047,1294,1548,1426,1600,1360,1574
and,95.63793182373047,1467,1547,1581,1600,1524,1574
the,96.348480224609375,1621,1548,1718,1600,1670,1574
girls,95.8346176147461,1755,1548,1891,1617,1823,1582
may,96.74858093261719,1924,1566,2058,1618,1991,1592
go—or,77.155975341796875,210,1659,428,1712,319,1686
you,96.35344696044922,454,1658,570,1711,512,1684
may,96.35546875,602,1658,737,1710,670,1684
send,96.2651596069336,756,1640,896,1692,826,1666
them,96.42952728271484,922,1639,1078,1691,1000,1665
by,95.85627746582031,1110,1638,1188,1707,1149,1672
"themselves,",95.85627746582031,1212,1637,1573,1702,1392,1670
which,96.48494720458984,1596,1638,1778,1690,1687,1664
perhaps,96.48494720458984,1810,1638,2056,1706,1933,1672
will,96.61881256103516,210,1731,321,1785,266,1758
be,96.64146423339844,361,1731,432,1785,396,1758
still,95.90086364746094,473,1730,589,1784,531,1757
better,84.099822998046875,619,1731,839,1797,729,1764
;,84.099822998046875,819,1723,860,1803,840,1763
for,45.70293426513672,877,1729,961,1783,919,1756
as,45.70293426513672,989,1746,1050,1782,1020,1764
you,96.538330078125,1092,1746,1207,1798,1150,1772
are,96.47056579589844,1251,1746,1345,1781,1298,1764
as,96.71223449707031,1388,1746,1449,1781,1418,1764
handsome,96.579315185546875,1491,1727,1814,1780,1652,1754
as,96.579315185546875,1853,1745,1914,1780,1884,1762
any,96.15528869628906,1943,1745,2059,1797,2001,1771
of,96.81756591796875,212,1823,278,1875,245,1849
"them,",95.97826385498047,319,1821,494,1886,406,1854
Mr.,96.44075012207031,540,1822,647,1875,594,1848
Bingley,96.44075012207031,692,1820,940,1890,816,1855
might,96.590484619140625,982,1820,1167,1889,1074,1854
like,95.10401153564453,1207,1819,1319,1872,1263,1846
you,96.649658203125,1362,1837,1477,1888,1420,1862
the,96.54058837890625,1535,1818,1632,1872,1584,1845
best,96.86651611328125,1680,1818,1806,1871,1743,1844
of,96.4753646850586,1850,1819,1915,1871,1882,1845
the,96.4753646850586,1961,1819,2058,1871,2010,1845
party.”,96.50934600830078,211,1913,423,1983,317,1948
“My,95.79293060302734,286,2004,440,2072,363,2038
"dear,",96.01332092285156,480,2001,631,2066,556,2034
you,96.01332092285156,668,2019,782,2071,725,2045
flatter,96.50273895263672,825,2000,1015,2054,920,2027
me.,90.40446472167969,1056,2019,1162,2053,1109,2036
I,90.40446472167969,1249,1999,1270,2052,1260,2026
certainly,93.73249816894531,1312,1998,1591,2068,1452,2033
“ave,68.91523742675781,1626,1997,1766,2050,1696,2024
had,96.03870391845703,1803,1997,1918,2050,1860,2024
my,96.78839111328125,1959,2017,2058,2068,2008,2042
share,96.48770904541016,209,2093,374,2146,292,2120
of,96.56092071533203,415,2092,481,2144,448,2118
"beauty,",96.101531982421875,521,2092,749,2161,635,2126
but,96.101531982421875,798,2091,902,2143,850,2117
I,95.64654541015625,948,2091,969,2143,958,2117
do,96.866912841796875,1016,2090,1090,2143,1053,2116
not,96.26057434082031,1132,2098,1234,2142,1183,2120
pretend,96.53038787841797,1275,2088,1515,2158,1395,2123
to,96.77947998046875,1559,2096,1619,2140,1589,2118
be,96.77947998046875,1661,2088,1731,2140,1696,2114
anything,96.1583480834961,1773,2088,2058,2158,1916,2123
extraordinary,95.82160949707031,209,2182,651,2250,430,2216
now.,95.33283996582031,690,2199,832,2233,761,2216
When,96.70252990722656,912,2180,1101,2233,1006,2206
a,96.30416107177734,1143,2198,1176,2232,1160,2215
woman,96.30416107177734,1214,2197,1437,2232,1326,2214
has,95.118927001953125,1477,2178,1581,2231,1529,2204
five,95.118927001953125,1611,2177,1719,2231,1665,2204
grown-up,96.66493225097656,1753,2196,2057,2248,1905,2222
"daughters,",96.47992706298828,211,2273,538,2343,374,2308
she,96.37491607666016,576,2272,677,2324,626,2298
ought,95.73829650878906,716,2271,897,2340,806,2306
to,95.73829650878906,936,2278,996,2323,966,2300
give,96.0252914428711,1038,2271,1167,2339,1102,2305
over,96.526153564453125,1209,2287,1344,2323,1276,2305
thinking,96.42607116699219,1384,2269,1655,2338,1520,2304
of,96.31446075439453,1692,2269,1757,2321,1724,2295
her,96.19864654541016,1790,2269,1891,2321,1840,2295
own,96.276885986328125,1928,2287,2055,2322,1992,2304
beauty.”,95.65412902832031,210,2363,467,2432,338,2398
“In,60.580101013183594,285,2454,401,2507,343,2480
such,96.19873809814453,440,2452,580,2506,510,2479
"cases,",96.25660705566406,619,2470,793,2518,706,2494
a,96.25660705566406,831,2470,864,2505,848,2488
woman,95.81368255615234,901,2455,1127,2505,1014,2480
has,96.70149993896484,1167,2450,1270,2504,1218,2477
not,96.69427490234375,1307,2456,1409,2504,1358,2480
often,96.54377746582031,1436,2448,1594,2502,1515,2475
much,95.96397399902344,1635,2448,1806,2501,1720,2474
beauty,95.96397399902344,1843,2448,2058,2519,1950,2484
to,96.24858856201172,210,2553,270,2598,240,2576
think,96.589569091796875,298,2543,465,2597,382,2570
of.”,85.47198486328125,494,2542,597,2596,546,2569
“,92.06792449951172,286,2637,311,2660,298,2648
"But,",96.3357925415039,333,2634,461,2698,397,2666
my,95.90010833740234,484,2652,585,2702,534,2677
"dear,",96.46714782714844,602,2632,754,2697,678,2664
you,96.80107879638672,775,2650,891,2702,833,2676
must,95.82311248779297,916,2640,1069,2684,992,2662
indeed,96.51069641113281,1091,2631,1299,2684,1195,2658
go,96.51069641113281,1322,2648,1397,2700,1360,2674
and,95.86320495605469,1420,2630,1535,2683,1478,2656
see,95.86320495605469,1558,2648,1652,2683,1605,2666
Mr.,95.645050048828125,1677,2631,1783,2684,1730,2658
Bingley,95.98857879638672,1808,2630,2057,2700,1932,2665
when,96.61164855957031,210,2722,374,2775,292,2748
he,95.6481704711914,402,2723,475,2775,438,2749
comes,95.6481704711914,504,2739,696,2774,600,2756
into,96.22224426269531,726,2722,847,2774,786,2748
the,96.82280731201172,876,2722,972,2773,924,2748
neighbourhood.”,95.82935333251953,1002,2720,1524,2790,1263,2755
“Tt,70.49885559082031,286,2813,388,2865,337,2839
is,95.11669158935547,417,2813,462,2864,440,2838
more,96.5477294921875,492,2830,649,2865,570,2848
than,96.27526092529297,678,2812,816,2864,747,2838
I,96.27526092529297,852,2812,874,2864,863,2838
engage,96.39180755615234,906,2828,1128,2880,1017,2854
"for,",96.24219512939453,1157,2811,1257,2875,1207,2843
I,76.45427703857422,1289,2811,1310,2862,1300,2836
assure,96.43291473388672,1345,2828,1539,2862,1442,2845
you.”,96.54991149902344,1566,2808,1727,2879,1646,2844
“But,92.49750518798828,287,2904,447,2955,367,2930
consider,96.224884033203125,489,2902,750,2955,620,2928
your,96.44853210449219,790,2919,936,2971,863,2945
daughters.,95.69401550292969,976,2900,1303,2970,1140,2935
Only,95.92854309082031,1385,2899,1545,2968,1465,2934
think,96.22492218017578,1581,2899,1747,2953,1664,2926
what,96.39805603027344,1785,2899,1940,2952,1862,2926
an,96.675445556640625,1981,2917,2053,2950,2017,2934
establishment,96.00746154785156,211,2991,649,3045,430,3018
it,96.10576629638672,686,2991,730,3043,708,3017
would,96.06739044189453,758,2990,947,3043,852,3016
be,96.21128845214844,982,2990,1052,3042,1017,3016
for,96.17405700683594,1082,2990,1168,3041,1125,3016
one,96.17405700683594,1196,3008,1304,3042,1250,3025
of,96.3628921508789,1334,2989,1399,3041,1366,3015
them.,95.680450439453125,1419,2989,1593,3042,1506,3016
Sir,95.680450439453125,1675,2988,1767,3043,1721,3016
William,95.98003387451172,1795,2987,2052,3041,1924,3014
and,96.91039276123047,210,3081,324,3134,267,3108
Lady,96.80943298339844,366,3081,535,3151,450,3116
Lucas,96.2623291015625,573,3082,761,3134,667,3108
are,96.771331787109375,799,3099,893,3134,846,3116
determined,96.368865966796875,931,3079,1289,3133,1110,3106
to,96.23722076416016,1327,3088,1388,3132,1358,3110
"go,",96.43791961669922,1424,3097,1516,3148,1470,3122
merely,95.46026611328125,1558,3078,1775,3147,1666,3112
on,96.88422393798828,1811,3095,1886,3130,1848,3112
that,96.35643005371094,1928,3078,2054,3130,1991,3104
account;,95.74235534667969,211,3180,489,3238,350,3209
for,94.96121978759766,550,3172,636,3225,593,3198
in,96.41938018798828,677,3172,733,3224,705,3198
"general,",96.26168060302734,775,3171,1023,3241,899,3206
you,96.0898208618164,1063,3188,1178,3240,1120,3214
"know,",96.66310119628906,1222,3170,1407,3234,1314,3202
they,96.39813232421875,1448,3169,1589,3238,1518,3204
visit,96.8111572265625,1634,3169,1766,3221,1700,3195
no,96.5610580444336,1810,3185,1886,3219,1848,3202
new,96.90467071533203,1930,3185,2054,3220,1992,3202
